
Shifts for Monday, April 26th
03:00 - 04:00 (1 hours) - @joshbwlng
04:00 - 12:30 (8.5 hours) - @nocover
12:30 - 17:00 (4.5 hours) - @page-
17:00 - 03:00 (10 hours) - @ab77

Shifts for Tuesday, April 27th
03:00 - 08:00 (5 hours) - @joshbwlng
08:00 - 11:30 (3.5 hours) - @cmfcruz
11:30 - 14:00 (2.5 hours) - @page-
14:00 - 21:30 (7.5 hours) - @klutchell
21:30 - 27:00 (5.5 hours) - @ab77

Shifts for Wednesday, April 28th
27:00 - 32:00 (5 hours) - @joshbwlng
32:00 - 37:00 (5 hours) - @cmfcruz
37:00 - 44:00 (7 hours) - @xginn8
44:00 - 51:00 (7 hours) - @jakogut

Shifts for Thursday, April 29th
51:00 - 56:00 (5 hours) - @joshbwlng
56:00 - 58:30 (2.5 hours) - @cmfcruz
58:30 - 61:00 (2.5 hours) - @page-
61:00 - 68:00 (7 hours) - @xginn8
68:00 - 70:00 (2 hours) - @klutchell
70:00 - 75:00 (5 hours) - @jakogut

Shifts for Friday, April 30th
75:00 - 78:00 (3 hours) - @joshbwlng
78:00 - 82:30 (4.5 hours) - @cmfcruz
82:30 - 88:30 (6 hours) - @page-
88:30 - 94:00 (5.5 hours) - @klutchell
94:00 - 99:00 (5 hours) - @jakogut

#rollcall

Support hours
-------------
joshbwlng: 19
jakogut: 17
cmfcruz: 15.5
ab77: 15.5
page-: 15.5
klutchell: 15
xginn8: 14
nocover: 8.5


Agents per day 

 		Mon
0		0
1		0
2		0
3		1
4		1
5		1
6		1
7		1
8		1
9		1
10		1
11		1
12		1
13		1
14		1
15		1
16		1
17		1
18		1
19		1
20		1
21		1
22		1
23		1
0		1
1		1
2		1
